Actual,Predicted
2037.89001464844,2016.4159
2035.75,2023.2429
2058.27001953125,2018.6616
2063.77001953125,2041.3643
2056.6201171875,2043.0206
2073.18994140625,2038.9866
2062.5,2054.525
2045.56005859375,2042.6879
2063.01000976562,2030.3313
2045.5400390625,2046.0416
2050.22998046875,2026.6896
2043.7199707031202,2035.3918
2065.919921875,2025.5076
2082.88989257812,2049.0583
2083.10009765625,2060.846
2078.830078125,2062.732
2096.05004882812,2059.56
2101.52001953125,2075.9736
2102.09008789062,2078.5256
2091.48999023437,2080.7917
2089.3701171875,2070.994
2089.84008789063,2070.56
2092.330078125,2069.723
2090.92993164063,2072.0
2071.82006835937,2070.4944
2067.169921875,2053.4412
2077.17993164063,2050.6785
2060.30004882812,2058.324
2052.94995117187,2041.3385
2047.7700195312502,2037.7361
2057.55004882812,2031.3732
2062.6298828125,2040.9883
2083.2900390625,2043.4769
2067.169921875,2063.399
2062.5,2046.5173
2046.53002929687,2046.8339
2065.0400390625,2029.48
2044.3800048828098,2048.7554
2044.2099609375,2025.3015
2041.8800048828102,2030.2147
2052.22998046875,2024.7246
2052.64990234375,2035.6228
2078.92993164063,2034.1921
2091.43994140625,2059.9597
2090.06005859375,2068.567
2100.1298828125,2069.136
2093.93994140625,2078.9297
2097.7099609375,2071.9695
2104.07006835938,2077.8079
2100.830078125,2082.327
2110.17993164063,2079.6616
2112.7099609375,2089.1191
2115.64990234375,2089.8015
2109.57006835938,2093.7856
2091.75,2087.5042
2076.64990234375,2072.2803
2077.60009765625,2058.9607
2066.36010742187,2059.8076
2078.19995117188,2047.856
2075.580078125,2060.6794
2085.18994140625,2055.4846
2089.75,2066.6196
2092.80004882812,2068.6057
2103.81005859375,2072.4263
2031.4499511718698,2082.6453
2006.6700439453102,2015.2207
2042.68994140625,1999.8276
2073.169921875,2027.0549
2099.34008789063,2051.615
2095.05004882813,2076.9697
2084.42993164063,2072.1416
2100.419921875,2065.5813
2106.96997070312,2080.083
2131.71997070312,2083.726
2139.5,2108.159
2153.81005859375,2112.5364
2157.8798828125,2129.0078
2165.1298828125,2130.7886
2162.0400390625,2139.1382
2163.7900390625,2135.0498
2166.10009765625,2138.463
2172.90991210937,2139.83
2166.46997070313,2146.2808
2173.7099609375,2139.5437
2168.96997070313,2148.2332
2169.81005859375,2141.647
2166.05004882812,2144.547
2168.830078125,2139.8025
2173.14990234375,2143.237
2169.93994140625,2146.3792
2156.81005859375,2143.6301
2163.51000976562,2131.9072
2168.7900390625,2139.4526
2183.76000976563,2142.0918
2182.23999023437,2156.5247
2182.81005859375,2153.2415
2177.96997070312,2156.0645
2183.73999023437,2150.702
2186.080078125,2157.1191
2186.23999023437,2157.696
2177.84008789063,2158.769
2181.89990234375,2150.857
2184.23999023438,2155.7854
2181.580078125,2155.9895
2187.81005859375,2154.4062
2185.09008789063,2160.6565
2173.2900390625,2156.8633
2175.10009765625,2146.8877
2170.18994140625,2149.7693
2179.44995117187,2143.417
2173.56005859375,2153.5845
2171.330078125,2145.8647
2177.48999023437,2146.0786
2181.61010742187,2150.872
2185.169921875,2154.0537
2182.76000976562,2157.6694
2169.080078125,2155.4717
2120.86010742187,2143.0938
2150.46997070313,2099.6003
2127.86010742187,2131.5051
2125.36010742187,2100.6917
2146.47998046875,2106.5393
2143.98999023437,2121.3254
2145.93994140625,2118.1394
2144.580078125,2122.6716
2170.93994140625,2119.8608
2173.2900390625,2145.469
2158.5400390625,2143.714
2146.0400390625,2133.3394
2161.85009765625,2122.7285
