Actual,Predicted
32.78999999999999,31.03179
31.229999999999997,31.824152
29.83,29.211355
29.320000000000004,28.26239
27.799999999999994,28.327242
26.71999999999999,26.49139
25.19,25.750237
24.04,24.287302
23.719999999999995,23.273127
23.1,23.290976
22.45,22.638464
22.260000000000005,21.796835
22.91,22.015284
24.23,23.706211
25.829999999999995,25.549797
27.74,27.268093
29.01,29.09332
30.029999999999994,29.804783
30.759999999999994,30.554241
31.59,31.08977
31.719999999999995,31.920221
32.11,31.521383
31.96999999999999,31.83768
32.05,31.177988
30.46999999999999,31.270494
25.8,28.49055
26.349999999999994,23.61913
25.49,25.90315
24.86,24.616255
23.59,24.080904
22.820000000000004,22.642588
22.11,22.153477
21.29,21.474756
21.06,21.082565
21.52,20.79821
21.939999999999998,21.86572
22.66,22.53558
23.340000000000003,23.452986
24.280000000000005,23.989685
25.899999999999995,24.924723
27.969999999999995,26.951256
30.06,29.371515
30.409999999999997,31.391323
29.709999999999997,30.744675
29.819999999999997,28.912834
28.419999999999998,29.354065
28.05,26.939087
27.569999999999997,27.157349
26.69,26.403112
26.6,25.361937
25.61,25.74471
24.74,24.540089
24.519999999999996,23.781958
24.35,24.033098
23.54,23.946764
22.899999999999995,22.617023
22.289999999999996,22.194057
21.440000000000005,21.542267
20.760000000000005,20.685637
20.56,20.218979
21.080000000000002,20.203035
21.62,21.43333
23.019999999999996,22.36121
25.319999999999997,24.280523
26.390000000000004,27.007965
28.4,27.337915
28.669999999999995,29.512695
29.51,28.918167
29.299999999999994,29.840166
27.79,28.844147
25.759999999999994,26.236898
22.899999999999995,23.898098
23.259999999999998,21.41799
23.879999999999992,22.871515
23.33,23.672707
22.850000000000005,22.444664
22.53,22.040943
22.44,22.160316
21.950000000000003,22.303741
21.270000000000003,21.659649
20.640000000000004,20.648094
20.299999999999997,19.787102
19.98,19.815668
20.010000000000005,19.584793
20.439999999999998,19.877722
21.200000000000003,20.8727
22.76,22.109907
24.519999999999996,24.110554
26.36,25.929993
27.729999999999993,27.63832
28.359999999999992,28.544806
29.399999999999995,28.700222
29.639999999999997,29.775818
29.559999999999995,29.643581
30.04,29.095638
29.779999999999998,29.783817
29.169999999999998,28.946121
28.439999999999998,27.930592
27.27,27.168417
26.199999999999992,25.831577
25.289999999999992,24.995604
24.729999999999993,24.374933
24.34,23.933924
23.979999999999997,23.598677
23.43,23.300539
22.770000000000003,22.69524
22.22,22.116564
22.309999999999995,21.665613
22.61,22.335068
23.489999999999995,22.92034
25.23999999999999,24.410528
27.049999999999994,26.603792
29.01,28.410872
30.029999999999994,30.283113
30.96,30.708984
31.259999999999998,31.396166
32.47999999999999,31.298384
31.959999999999997,32.88444
32.11,31.245533
31.839999999999996,31.445253
31.179999999999996,30.757044
29.71999999999999,29.767052
27.989999999999995,27.945374
26.469999999999995,26.49673
25.02,25.248407
23.01,23.99202
22.2,22.039085
22.429999999999996,21.66419
22.32,22.229939
18.38,22.303768
18.889999999999997,17.689152
18.81,19.253378
18.769999999999996,18.714529
18.85,18.711077
19.37,18.708466
20.109999999999996,19.560387
20.739999999999995,20.637783
21.91,21.33165
22.39,22.883368
21.43,22.697374
20.879999999999995,20.687538
20.380000000000003,20.194056
19.86,19.689129
19.329999999999995,19.131453
18.79,18.585205
19.12,18.01273
18.950000000000003,18.865793
18.869999999999997,18.909353
18.340000000000003,18.832718
18.2,17.912985
18.089999999999996,17.991255
17.77,17.845947
17.76,17.46028
17.55,17.592428
17.249999999999996,17.288006
16.95,16.968931
16.779999999999998,16.644047
17.09,16.605719
18.71,17.36093
20.67,20.22166
21.48,22.39632
21.84,22.383137
22.309999999999995,22.046144
22.689999999999998,22.312283
22.680000000000003,22.642923
23.05999999999999,22.328245
23.33,22.842415
22.859999999999996,22.968765
22.560000000000002,22.120298
22.08,21.990679
21.03,21.388445
20.36,19.986984
19.429999999999996,19.631044
18.25,18.600817
17.06,17.391096
16.379999999999995,16.322123
16.009999999999998,15.890261
15.67,15.624958
15.139999999999999,15.513448
15.010000000000003,14.802955
15.86,14.994493
17.06,16.887497
18.92,18.459263
20.319999999999997,20.562359
22.239999999999995,21.431753
23.38,23.366705
24.3,23.958961
24.98,24.719774
25.219999999999995,25.138735
25.809999999999995,25.050838
26.029999999999998,25.740482
26.129999999999992,25.718534
25.359999999999992,25.676609
24.689999999999998,24.291525
22.770000000000003,23.648033
21.150000000000002,21.215963
20.199999999999996,20.198788
19.47,19.446085
18.86,18.840864
18.72,18.289366
17.74,18.361074
17.09,17.08307
17.07,16.836596
16.689999999999998,17.077747
17.199999999999996,16.454556
18.62,17.751554
20.62,20.094955
22.949999999999996,22.392494
24.25,24.739727
25.439999999999998,25.26775
26.24,26.01086
26.5,26.527102
26.319999999999993,26.480917
25.78,25.755201
25.17,24.833199
24.259999999999994,24.040186
23.340000000000003,22.976242
22.64,22.197092
21.440000000000005,21.704828
20.92,20.427797
18.390000000000004,20.285307
17.730000000000004,17.154713
16.910000000000004,17.36501
15.780000000000001,16.360735
15.069999999999999,15.209313
15.159999999999997,14.637513
15.150000000000002,15.343319
15.279999999999998,15.299729
15.410000000000004,15.574579
15.039999999999996,15.659131
15.230000000000002,14.828606
14.800000000000002,15.2514
15.95,14.4642515
17.369999999999997,16.959728
18.35,18.517277
19.53,19.247168
19.94,20.215546
19.93,20.094938
19.890000000000004,19.633495
19.32,19.540228
18.970000000000002,18.605202
17.82,18.25847
17.149999999999995,16.708246
15.99,16.386341
14.78,15.099197
14.09,14.078589
13.779999999999998,13.589779
13.41,13.475021
12.839999999999998,13.105567
12.550000000000004,12.518265
12.32,12.373545
12.360000000000003,12.186721
12.699999999999998,12.491124
13.75,13.122155
14.879999999999997,14.897187
15.86,15.994976
17.780000000000005,16.708515
18.88,18.938936
19.34,19.465736
19.569999999999997,19.490116
20.28,19.367525
20.5,20.295675
20.389999999999997,20.222265
20.27,19.896969
20.23,19.68229
19.51,19.748585
18.88,18.718193
17.48,18.17315
16.12,16.426077
15.2,15.318877
14.260000000000003,14.59731
13.449999999999998,13.699533
12.889999999999999,12.926074
12.310000000000002,12.457942
11.879999999999999,11.841915
11.539999999999997,11.683167
12.159999999999998,11.422264
13.320000000000002,12.99146
14.759999999999996,14.684974
16.659999999999997,16.198372
18.360000000000003,18.09945
20.109999999999996,19.445467
21.250000000000004,21.01296
21.849999999999998,21.72838
22.33,21.984234
22.98999999999999,22.20967
23.36,22.956318
22.820000000000004,23.124346
22.479999999999997,21.946905
21.6,21.670494
20.62,20.504744
19.720000000000002,19.579079
18.62,18.865837
18.32,17.759005
17.5,17.795258
16.930000000000003,16.801588
16.499999999999996,16.415258
16.420000000000005,16.152065
16.48,16.549917
16.519999999999996,16.68481
17.12,16.748655
17.86,17.825418
18.699999999999996,18.709414
20.27,19.567188
21.55,21.413986
22.52,22.44195
23.769999999999996,23.058004
24.57999999999999,24.353151
24.95,24.899635
25.619999999999994,24.977224
26.159999999999993,25.73981
26.48,26.17369
25.829999999999995,26.311438
24.599999999999998,24.938316
23.340000000000003,23.183609
22.37,22.029661
22.070000000000004,21.418243
21.919999999999998,21.443274
21.169999999999998,21.317942
20.55,20.302042
18.71,19.826927
17.38,17.794722
16.910000000000004,16.934942
16.97,16.638268
16.639999999999997,16.873085
16.99,16.222694
17.69,17.341408
18.290000000000003,18.487507
18.52,18.991467
18.84,18.752337
17.730000000000004,18.980455
16.83,16.920658
16.790000000000003,16.124695
17.43,16.476774
17.389999999999997,17.48339
17.269999999999996,17.12845
17.19,16.936337
17.23,16.854649
17.09,17.090046
16.8,16.847084
16.759999999999998,16.483128
16.650000000000002,16.523224
16.48,16.461336
16.43,16.248587
16.26,16.299562
15.819999999999999,16.071276
15.38,15.447259
15.039999999999996,14.986304
15.739999999999998,14.700814
16.840000000000003,16.33452
18.390000000000004,17.97703
20.450000000000003,19.738518
21.35,21.954914
22.070000000000004,22.046621
23.57,22.421593
23.129999999999992,24.129301
23.07999999999999,22.66122
22.850000000000005,22.58775
22.619999999999997,22.158075
21.189999999999998,21.933292
19.61,19.79915
19.350000000000005,18.546133
19.239999999999995,18.74147
18.31,18.844826
17.999999999999996,17.556627
15.819999999999999,17.557508
14.85,14.652388
14.09,14.575424
13.600000000000001,13.750715
13.390000000000002,13.293972
12.530000000000001,13.071507
12.299999999999997,11.949374
12.75,12.079599
13.539999999999996,13.290618
14.339999999999996,14.509752
14.929999999999998,15.218416
16.14,15.425648
16.860000000000003,16.97216
17.850000000000005,17.276505
17.850000000000005,18.431505
18.74,17.604286
19.020000000000003,18.935143
19.329999999999995,18.808558
18.950000000000003,19.22206
18.080000000000002,18.306482
17.41,17.157495
16.61,16.619062
16.12,15.841153
15.010000000000003,15.538274
14.03,14.197786
13.329999999999997,13.395704
13.040000000000003,12.795411
12.120000000000001,12.8999195
11.370000000000001,11.5227
10.939999999999998,10.941108
10.56,10.62443
11.729999999999999,10.285267
13.259999999999996,12.956001
15.159999999999997,14.823166
17.149999999999995,16.887823
19.03,18.581942
20.330000000000002,20.133816
21.510000000000005,20.903313
22.429999999999996,21.933039
22.929999999999996,22.605974
23.629999999999995,22.82979
24.539999999999996,23.585047
24.22,24.569078
23.78,23.55227
23.189999999999998,22.976877
19.840000000000003,22.268753
18.939999999999998,18.03386
17.920000000000005,18.451227
17.09,17.156189
16.759999999999998,16.492714
16.41,16.315622
16.399999999999995,15.979702
15.86,16.260279
14.989999999999998,15.688571
14.470000000000002,14.633218
13.950000000000001,14.126583
14.080000000000002,13.567109
14.11,14.080228
14.92,14.141474
15.799999999999999,15.789411
16.230000000000004,16.786058
16.49,16.715046
16.39,16.583534
16.230000000000004,16.129932
17.01,15.86388
17.470000000000002,17.163403
17.470000000000002,17.501783
17.439999999999998,17.226501
17.16,17.160955
17.06,16.749018
16.73,16.730244
16.060000000000002,16.273417
16.05,15.383225
16.12,15.761323
16.009999999999998,16.057043
15.780000000000001,15.878096
15.58,15.569741
15.559999999999997,15.363392
15.53,15.46305
15.509999999999996,15.43319
16.210000000000004,15.440663
17.04,16.904812
18.559999999999995,17.946476
19.3,19.837675
20.72,19.9246
22.379999999999995,21.541512
22.680000000000003,23.280537
22.61,22.908964
23.38,22.27687
23.819999999999997,23.467209
23.939999999999998,23.756378
23.59,23.597347
22.94,22.845736
21.4,21.904154
