Predicted,Actual
24.30596923828125,24.03
25.12881851196289,26.27
28.112329483032227,28.64
29.77739143371582,30.25
30.87493133544922,32.22
32.6547737121582,33.23
33.41960906982422,33.83
33.85406494140625,34.33
34.15276336669922,34.05
33.27698516845703,32.82
31.31633949279785,32.79
32.02716064453125,31.23
29.44552993774414,29.83
28.078062057495117,29.32
28.555065155029297,27.8
26.482812881469727,26.72
25.812652587890625,25.19
24.276538848876953,24.04
23.433774948120117,23.72
23.493213653564453,23.1
22.6120662689209,22.45
21.972749710083008,22.26
22.072891235351562,22.91
23.702123641967773,24.23
25.694948196411133,25.83
27.326976776123047,27.74
29.135255813598633,29.01
29.745084762573242,30.03
30.514951705932617,30.76
30.937969207763672,31.59
31.677812576293945,31.72
31.272228240966797,32.11
31.67734146118164,31.97
31.099327087402344,32.05
31.322084426879883,30.47
28.738990783691406,25.8
24.17341423034668,26.35
26.740589141845703,25.49
24.53702163696289,24.86
24.167646408081055,23.59
22.716808319091797,22.82
22.270614624023438,22.11
21.714799880981445,21.29
20.86054801940918,21.06
20.94746971130371,21.52
21.882169723510742,21.94
22.43111228942871,22.66
23.405973434448242,23.34
23.9279842376709,24.28
25.05223274230957,25.9
27.077913284301758,27.97
29.135223388671875,30.06
30.83603858947754,30.41
30.51242446899414,29.71
29.08080291748047,29.82
29.340526580810547,28.42
26.986042022705078,28.05
26.999629974365234,27.57
26.54242706298828,26.69
25.465667724609375,26.6
26.11370277404785,25.61
24.52168083190918,24.74
23.873615264892578,24.52
24.168048858642578,24.35
24.07810401916504,23.54
22.690540313720703,22.9
22.209827423095703,22.29
21.70004653930664,21.44
20.756080627441406,20.76
20.232751846313477,20.56
20.319055557250977,21.08
21.578720092773438,21.62
22.15947723388672,23.02
24.436704635620117,25.32
27.224769592285156,26.39
27.214689254760742,28.4
29.591262817382812,28.67
28.779518127441406,29.51
29.707801818847656,29.3
28.79566192626953,27.79
26.344417572021484,25.76
23.93182373046875,22.9
21.62444305419922,23.26
23.375402450561523,23.88
23.949176788330078,23.33
22.659828186035156,22.85
22.18205451965332,22.53
22.102115631103516,22.44
22.371620178222656,21.95
21.442211151123047,21.27
20.57265281677246,20.64
19.97964859008789,20.3
19.83603286743164,19.98
19.6213321685791,20.01
19.98184585571289,20.44
20.783946990966797,21.2
21.9417667388916,22.76
24.280975341796875,24.52
25.89691734313965,26.36
27.587491989135742,27.73
28.484989166259766,28.36
28.640289306640625,29.4
29.698760986328125,29.64
29.41214942932129,29.56
28.968582153320312,30.04
29.689071655273438,29.78
28.88915252685547,29.17
28.0540714263916,28.44
27.242643356323242,27.27
25.88620948791504,26.2
25.035985946655273,25.29
24.39455795288086,24.73
24.091859817504883,24.34
23.79617691040039,23.98
23.529499053955078,23.43
22.841827392578125,22.77
22.118398666381836,22.22
21.686479568481445,22.31
22.337303161621094,22.61
22.838363647460938,23.49
24.27756690979004,25.24
26.747283935546875,27.05
28.372880935668945,29.01
30.200252532958984,30.03
30.524999618530273,30.96
31.255062103271484,31.26
31.09442138671875,32.48
32.62464904785156,31.96
31.12226676940918,32.11
31.438833236694336,31.84
30.92394256591797,31.18
29.96977996826172,29.72
27.951940536499023,27.99
26.373046875,26.47
25.364810943603516,25.02
24.142484664916992,23.01
22.214988708496094,22.2
21.846704483032227,22.43
22.719579696655273,22.32
22.23394012451172,18.38
17.4525089263916,18.89
19.213802337646484,18.81
18.571025848388672,18.77
18.993335723876953,18.85
18.955135345458984,19.37
19.891504287719727,20.11
20.95022201538086,20.74
21.4874324798584,21.91
23.15814781188965,22.39
22.60021209716797,21.43
20.515975952148438,20.88
19.99497413635254,20.38
19.583316802978516,19.86
19.080245971679688,19.33
18.624189376831055,18.79
18.183307647705078,19.12
19.28738021850586,18.95
18.755807876586914,18.87
18.854846954345703,18.34
17.837736129760742,18.2
18.016639709472656,18.09
17.923603057861328,17.77
17.43126106262207,17.76
17.686765670776367,17.55
17.2742977142334,17.25
16.9567928314209,16.95
16.647804260253906,16.78
16.61328887939453,17.09
17.375408172607422,18.71
20.348495483398438,20.67
22.37950897216797,21.48
22.20592498779297,21.84
22.00946617126465,22.31
22.340225219726562,22.69
22.617740631103516,22.68
22.276199340820312,23.06
22.855178833007812,23.33
23.06125259399414,22.86
22.058643341064453,22.56
21.88068199157715,22.08
21.321388244628906,21.03
20.05850601196289,20.36
19.699216842651367,19.43
18.772151947021484,18.25
17.615032196044922,17.06
16.520456314086914,16.38
16.033855438232422,16.01
15.80447769165039,15.67
15.536088943481445,15.14
14.911212921142578,15.01
15.055639266967773,15.86
17.018566131591797,17.06
18.618553161621094,18.92
20.91860580444336,20.32
21.4830322265625,22.24
23.473190307617188,23.38
23.94343376159668,24.3
24.638565063476562,24.98
25.096389770507812,25.22
24.97821617126465,25.81
25.657251358032227,26.03
25.647411346435547,26.13
25.670677185058594,25.36
24.23918914794922,24.69
23.68677520751953,22.77
21.42068099975586,21.15
20.296972274780273,20.2
19.656478881835938,19.47
18.95753288269043,18.86
18.491331100463867,18.72
18.603025436401367,17.74
17.12786865234375,17.09
16.844575881958008,17.07
17.163053512573242,16.69
16.503034591674805,17.2
17.8787841796875,18.62
20.25581932067871,20.62
22.594938278198242,22.95
24.70754623413086,24.25
25.097354888916016,25.44
26.041011810302734,26.24
26.506351470947266,26.5
26.406879425048828,26.32
25.71376609802246,25.78
24.78908348083496,25.17
24.05215835571289,24.26
23.013582229614258,23.34
22.286035537719727,22.64
21.855152130126953,21.44
20.572919845581055,20.92
20.539348602294922,18.39
17.509801864624023,17.73
17.537965774536133,16.91
16.432321548461914,15.78
15.372567176818848,15.07
14.771374702453613,15.16
15.286245346069336,15.15
15.38561725616455,15.28
15.697284698486328,15.41
15.742732048034668,15.04
14.864683151245117,15.23
15.528566360473633,14.8
14.502106666564941,15.95
17.090654373168945,17.37
18.482402801513672,18.35
19.193679809570312,19.53
20.330846786499023,19.94
20.101320266723633,19.93
19.673372268676758,19.89
19.44386100769043,19.32
18.457895278930664,18.97
18.180692672729492,17.82
16.807525634765625,17.15
16.581708908081055,15.99
15.303338050842285,14.78
14.285792350769043,14.09
13.747941017150879,13.78
13.598901748657227,13.41
13.280444145202637,12.84
12.642745018005371,12.55
12.544133186340332,12.32
12.348796844482422,12.36
12.662528038024902,12.7
13.29235553741455,13.75
15.003534317016602,14.88
16.03759765625,15.86
16.772991180419922,17.78
19.17719268798828,18.88
19.52480125427246,19.34
19.50407600402832,19.57
19.323955535888672,20.28
20.2454891204834,20.5
20.166128158569336,20.39
19.800968170166016,20.27
19.685707092285156,20.23
19.770830154418945,19.51
18.621742248535156,18.88
18.160018920898438,17.48
16.683990478515625,16.12
15.541871070861816,15.2
14.74260139465332,14.26
13.803999900817871,13.45
13.087699890136719,12.89
12.59511661529541,12.31
12.067468643188477,11.88
11.79137897491455,11.54
11.51842975616455,12.16
13.17116641998291,13.32
14.896628379821777,14.76
16.44529914855957,16.66
18.394371032714844,18.36
19.580907821655273,20.11
21.0886173248291,21.25
21.730316162109375,21.85
21.9062442779541,22.33
22.170194625854492,22.99
22.82002067565918,23.36
23.068981170654297,22.82
21.907882690429688,22.48
21.605159759521484,21.6
20.448596954345703,20.62
19.687578201293945,19.72
18.986600875854492,18.62
17.954166412353516,18.32
18.021570205688477,17.5
16.9509334564209,16.93
16.643447875976562,16.5
16.247194290161133,16.42
16.48297691345215,16.48
16.702674865722656,16.52
16.685701370239258,17.12
17.90586280822754,17.86
18.654022216796875,18.7
19.595504760742188,20.27
21.576671600341797,21.55
22.42672348022461,22.52
23.052610397338867,23.77
24.3300724029541,24.58
